DEPARTAMENTO,CODE,N_COUNT,COUNT
AMAZONAS,91,142,"225,67183"
ANTIOQUIA,05,5935,"446,12763"
ARAUCA,81,550,"329,85716"
ARCHIPIELAGO DE SAN ANDRES,88,63,"121,21742"
ATLANTICO,08,497,"1136,1106"
"BOGOTA, D.C.",11,5470,"2427,1553"
BOLIVAR,13,1030,"543,06334"
BOYACA,15,3965,"220,30473"
CALDAS,17,2163,"277,22684"
CAQUETA,18,794,"318,0996"
CASANARE,85,940,"614,89024"
CAUCA,19,2288,"202,08265"
CESAR,20,1002,"513,43106"
CHOCO,27,726,"165,90753"
CORDOBA,23,996,"696,4238"
CUNDINAMARCA,25,4105,"308,30486"
GUAINIA,94,29,"2227,3426"
GUAVIARE,95,145,"366,13599"
HUILA,41,1866,"300,51595"
LA GUAJIRA,44,713,"664,92543"
MAGDALENA,47,1084,"439,39041"
META,50,1235,"782,74192"
NARINO,52,4530,"128,77315"
NORTE DE SANTANDER,54,1989,"281,95472"
PUTUMAYO,86,837,"257,02187"
QUINDIO,63,743,"162,79085"
RISARALDA,66,1057,"368,14233"
SANTANDER,68,2989,"336,11077"
SUCRE,70,1459,"281,26997"
TOLIMA,73,2418,"205,5594"
VALLE DEL CAUCA,76,3401,"252,18985"
VAUPES,97,125,"366,25578"
VICHADA,99,129,"235,04727"
